# BUSCO version is: 5.6.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1211060at2	Complete	RSGAB00240:1-600	1	600	+	208.4	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	RSGAB02879:1-1011	1	1011	+	251.5	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	RSGAB03588:1-759	1	759	+	336.7	246	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	RSGAB03002:1-633	1	633	+	187.6	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	RSGAB02026:1-930	1	930	+	146.9	151	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	RSGAB01971:1-1203	1	1203	+	352.1	289	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	RSGAB01885:1-1251	1	1251	+	119.4	147	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	RSGAB02987:1-534	1	534	+	155.4	129	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	RSGAB00792:1-1029	1	1029	+	276.2	262	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	RSGAB02990:1-537	1	537	+	234.8	141	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	RSGAB03013:1-498	1	498	+	110.2	111	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	RSGAB00509:1-774	1	774	+	52.0	83	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	RSGAB02981:1-651	1	651	+	138.1	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	RSGAB01941:1-519	1	519	+	42.3	63	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	RSGAB01973:1-585	1	585	+	251.5	179	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	RSGAB01874:1-978	1	978	+	188.5	220	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	RSGAB02985:1-498	1	498	+	231.3	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	RSGAB03006:1-468	1	468	+	210.0	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	RSGAB02982:1-1290	1	1290	+	337.5	298	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	RSGAB03001:1-621	1	621	+	145.2	106	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	RSGAB00626:1-390	1	390	+	132.9	139	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	RSGAB03118:1-714	1	714	+	66.6	86	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	RSGAB01817:1-1245	1	1245	+	490.2	371	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	RSGAB01882:1-471	1	471	+	47.9	45	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	RSGAB01892:1-705	1	705	+	280.3	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	RSGAB03091:1-594	1	594	+	172.4	149	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	RSGAB02997:1-339	1	339	+	118.0	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	RSGAB03014:1-699	1	699	+	229.7	168	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	RSGAB01889:1-555	1	555	+	161.0	134	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	RSGAB03062:1-558	1	558	+	136.3	104	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	RSGAB02988:1-396	1	396	+	196.7	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	RSGAB01939:1-348	1	348	+	133.0	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	RSGAB03261:1-855	1	855	+	179.3	143	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	RSGAB03015:1-423	1	423	+	134.6	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	RSGAB03007:1-420	1	420	+	175.4	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	RSGAB02976:1-387	1	387	+	157.9	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	RSGAB03599:1-465	1	465	+	222.2	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	RSGAB00524:1-774	1	774	+	66.4	105	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	RSGAB00305:1-471	1	471	+	101.1	94	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	RSGAB02968:1-390	1	390	+	115.1	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	RSGAB02977:1-363	1	363	+	152.4	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	RSGAB03128:1-285	1	285	+	64.8	70	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	RSGAB02995:1-423	1	423	+	162.1	103	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	RSGAB02992:1-366	1	366	+	140.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	RSGAB02969:1-435	1	435	+	165.8	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	RSGAB03012:1-366	1	366	+	97.3	87	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	RSGAB02882:1-456	1	456	+	79.7	69	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	RSGAB02039:1-606	1	606	+	88.0	88	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	RSGAB00519:1-468	1	468	+	82.4	72	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	RSGAB02974:1-360	1	360	+	104.0	82	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	RSGAB00831:1-987	1	987	+	47.2	82	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	RSGAB01987:1-924	1	924	+	179.6	172	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	RSGAB02038:1-492	1	492	+	129.6	106	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	RSGAB02983:1-438	1	438	+	82.2	80	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	RSGAB01949:1-738	1	738	+	75.3	92	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	RSGAB02998:1-276	1	276	+	141.6	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	RSGAB00406:1-288	1	288	+	114.2	66	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	RSGAB00505:1-660	1	660	+	73.9	69	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	RSGAB00307:1-357	1	357	+	122.4	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	RSGAB01944:1-270	1	270	+	119.6	69	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	RSGAB03259:1-534	1	534	+	129.6	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	RSGAB03130:1-234	1	234	+	97.2	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	RSGAB00404:1-306	1	306	+	138.5	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	RSGAB03133:1-447	1	447	+	83.3	81	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	RSGAB02986:1-360	1	360	+	154.1	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	RSGAB01876:1-384	1	384	+	145.7	119	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	RSGAB03000:1-285	1	285	+	107.7	90	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	RSGAB01873:1-267	1	267	+	113.9	69	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	RSGAB00490:1-354	1	354	+	98.8	80	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	RSGAB00498:1-267	1	267	+	72.2	61	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	RSGAB03003:1-306	1	306	+	145.4	87	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	RSGAB02993:1-261	1	261	+	97.3	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	RSGAB02991:1-309	1	309	+	60.4	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	RSGAB00306:1-198	1	198	+	32.6	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	RSGAB02994:1-198	1	198	+	57.8	34	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	RSGAB02979:1-216	1	216	+	96.5	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	RSGAB00460:1-414	1	414	+	44.8	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
