,Gene ID,Organism,Gene Family,Genome ID,UniProtKB,Partition,Hypothetical
78,gnl|Prokka|gelc_02885,geobacillus_cnambio1,KGENGAEB_02231,KGENGAEB,,persistent,False
79,gnl|Prokka|gelc_02886,geobacillus_cnambio1,KGENGAEB_02231,KGENGAEB,,persistent,False
80,gnl|Prokka|gelc_02884,geobacillus_cnambio1,KGENGAEB_02231,KGENGAEB,,persistent,False
81,gnl|Prokka|gelc_02928,geobacillus_cnambio1,KGENGAEB_02263,KGENGAEB,,persistent,True
82,gnl|Prokka|gelc_02964,geobacillus_cnambio1,KGENGAEB_02295,KGENGAEB,,persistent,True
83,gnl|Prokka|gelc_03205,geobacillus_cnambio1,KGENGAEB_02365,KGENGAEB,,persistent,False
84,gnl|Prokka|gelc_03243,geobacillus_cnambio1,KGENGAEB_02397,KGENGAEB,,persistent,False
85,gnl|Prokka|gelc_03283,geobacillus_cnambio1,KGENGAEB_02429,KGENGAEB,,persistent,True
86,gnl|Prokka|gelc_02802,geobacillus_cnambio1,KGENGAEB_02493,KGENGAEB,,persistent,False
87,gnl|Prokka|gelc_02801,geobacillus_cnambio1,KGENGAEB_02493,KGENGAEB,,persistent,False
88,gnl|Prokka|gelc_02764,geobacillus_cnambio1,KGENGAEB_02525,KGENGAEB,,persistent,False
89,gnl|Prokka|gelc_02724,geobacillus_cnambio1,KGENGAEB_02557,KGENGAEB,,persistent,False
90,gnl|Prokka|gelc_03519,geobacillus_cnambio1,KGENGAEB_02601,KGENGAEB,,persistent,True
91,gnl|Prokka|gelc_03427,geobacillus_cnambio1,KGENGAEB_02672,KGENGAEB,,persistent,False
92,gnl|Prokka|gelc_01116,geobacillus_cnambio1,KGENGAEB_02736,KGENGAEB,,persistent,True
93,gnl|Prokka|gelc_01042,geobacillus_cnambio1,KGENGAEB_02801,KGENGAEB,,persistent,False
94,gnl|Prokka|gelc_04530,geobacillus_cnambio1,KGENGAEB_02834,KGENGAEB,,persistent,False
95,gnl|Prokka|gelc_04490,geobacillus_cnambio1,KGENGAEB_02866,KGENGAEB,,persistent,True
96,gnl|Prokka|gelc_01224,geobacillus_cnambio1,KGENGAEB_02898,KGENGAEB,,persistent,False
97,gnl|Prokka|gelc_01223,geobacillus_cnambio1,KGENGAEB_02898,KGENGAEB,,persistent,False
98,gnl|Prokka|gelc_03118,geobacillus_cnambio1,KGENGAEB_02962,KGENGAEB,,persistent,False
99,gnl|Prokka|gelc_03061,geobacillus_cnambio1,KGENGAEB_02994,KGENGAEB,,persistent,True
100,gnl|Prokka|gelc_03627,geobacillus_cnambio1,KGENGAEB_03026,KGENGAEB,,persistent,False
101,gnl|Prokka|gelc_03661,geobacillus_cnambio1,KGENGAEB_03058,KGENGAEB,,persistent,False
102,gnl|Prokka|gelc_01151,geobacillus_cnambio1,KGENGAEB_03090,KGENGAEB,,persistent,True
103,gnl|Prokka|gelc_03752,geobacillus_cnambio1,KGENGAEB_03122,KGENGAEB,,persistent,False
104,gnl|Prokka|gelc_03475,geobacillus_cnambio1,KGENGAEB_03186,KGENGAEB,,persistent,True
105,gnl|Prokka|gelc_03694,geobacillus_cnambio1,KGENGAEB_03286,KGENGAEB,,persistent,False
106,gnl|Prokka|gelc_01387,geobacillus_cnambio1,IJIGFOAD_00014,IJIGFOAD,,persistent,False
107,gnl|Prokka|gelc_01429,geobacillus_cnambio1,IJIGFOAD_00046,IJIGFOAD,,persistent,True
108,gnl|Prokka|gelc_01491,geobacillus_cnambio1,IJIGFOAD_00079,IJIGFOAD,,persistent,False
109,gnl|Prokka|gelc_01530,geobacillus_cnambio1,IJIGFOAD_00111,IJIGFOAD,,persistent,False
110,gnl|Prokka|gelc_01607,geobacillus_cnambio1,IJIGFOAD_00182,IJIGFOAD,,persistent,False
111,gnl|Prokka|gelc_01658,geobacillus_cnambio1,IJIGFOAD_00214,IJIGFOAD,,persistent,False
112,gnl|Prokka|gelc_01694,geobacillus_cnambio1,IJIGFOAD_00246,IJIGFOAD,,persistent,True
113,gnl|Prokka|gelc_01736,geobacillus_cnambio1,IJIGFOAD_00281,IJIGFOAD,,persistent,False
114,gnl|Prokka|gelc_01812,geobacillus_cnambio1,IJIGFOAD_00345,IJIGFOAD,,persistent,False
115,gnl|Prokka|gelc_01856,geobacillus_cnambio1,IJIGFOAD_00377,IJIGFOAD,,persistent,False
116,gnl|Prokka|gelc_01932,geobacillus_cnambio1,IJIGFOAD_00441,IJIGFOAD,,persistent,True
117,gnl|Prokka|gelc_01972,geobacillus_cnambio1,IJIGFOAD_00473,IJIGFOAD,,persistent,False
118,gnl|Prokka|gelc_01971,geobacillus_cnambio1,IJIGFOAD_00473,IJIGFOAD,,persistent,False
119,gnl|Prokka|gelc_02040,geobacillus_cnambio1,IJIGFOAD_00505,IJIGFOAD,,persistent,False
120,gnl|Prokka|gelc_02130,geobacillus_cnambio1,IJIGFOAD_00570,IJIGFOAD,,persistent,False
121,gnl|Prokka|gelc_02169,geobacillus_cnambio1,IJIGFOAD_00602,IJIGFOAD,,persistent,False
122,gnl|Prokka|gelc_02214,geobacillus_cnambio1,IJIGFOAD_00634,IJIGFOAD,,persistent,False
123,gnl|Prokka|gelc_02257,geobacillus_cnambio1,IJIGFOAD_00666,IJIGFOAD,,persistent,False
124,gnl|Prokka|gelc_02291,geobacillus_cnambio1,IJIGFOAD_00698,IJIGFOAD,,persistent,False
125,gnl|Prokka|gelc_02336,geobacillus_cnambio1,IJIGFOAD_00730,IJIGFOAD,,persistent,False
126,gnl|Prokka|gelc_02425,geobacillus_cnambio1,IJIGFOAD_00794,IJIGFOAD,,persistent,True
127,gnl|Prokka|gelc_02465,geobacillus_cnambio1,IJIGFOAD_00826,IJIGFOAD,,persistent,True
128,gnl|Prokka|gelc_02505,geobacillus_cnambio1,IJIGFOAD_00858,IJIGFOAD,,persistent,True
129,gnl|Prokka|gelc_02580,geobacillus_cnambio1,IJIGFOAD_00890,IJIGFOAD,,persistent,False
130,gnl|Prokka|gelc_02619,geobacillus_cnambio1,IJIGFOAD_00922,IJIGFOAD,,persistent,True
131,gnl|Prokka|gelc_02659,geobacillus_cnambio1,IJIGFOAD_00954,IJIGFOAD,,persistent,True
132,gnl|Prokka|gelc_02714,geobacillus_cnambio1,IJIGFOAD_00987,IJIGFOAD,,persistent,False
133,gnl|Prokka|gelc_02752,geobacillus_cnambio1,IJIGFOAD_01019,IJIGFOAD,,persistent,False
134,gnl|Prokka|gelc_02753,geobacillus_cnambio1,IJIGFOAD_01019,IJIGFOAD,,persistent,False
135,gnl|Prokka|gelc_02794,geobacillus_cnambio1,IJIGFOAD_01051,IJIGFOAD,,persistent,False
136,gnl|Prokka|gelc_02830,geobacillus_cnambio1,IJIGFOAD_01083,IJIGFOAD,,persistent,False
137,gnl|Prokka|gelc_02865,geobacillus_cnambio1,IJIGFOAD_01115,IJIGFOAD,,persistent,False
138,gnl|Prokka|gelc_02864,geobacillus_cnambio1,IJIGFOAD_01115,IJIGFOAD,,persistent,False
139,gnl|Prokka|gelc_02909,geobacillus_cnambio1,IJIGFOAD_01147,IJIGFOAD,,persistent,False
140,gnl|Prokka|gelc_02910,geobacillus_cnambio1,IJIGFOAD_01147,IJIGFOAD,,persistent,False
141,gnl|Prokka|gelc_02911,geobacillus_cnambio1,IJIGFOAD_01147,IJIGFOAD,,persistent,False
142,gnl|Prokka|gelc_02947,geobacillus_cnambio1,IJIGFOAD_01179,IJIGFOAD,,persistent,True
143,gnl|Prokka|gelc_02984,geobacillus_cnambio1,IJIGFOAD_01211,IJIGFOAD,,persistent,True
144,gnl|Prokka|gelc_03024,geobacillus_cnambio1,IJIGFOAD_01243,IJIGFOAD,,persistent,True
145,gnl|Prokka|gelc_03023,geobacillus_cnambio1,IJIGFOAD_01243,IJIGFOAD,,persistent,True
146,gnl|Prokka|gelc_03022,geobacillus_cnambio1,IJIGFOAD_01243,IJIGFOAD,,persistent,True
147,gnl|Prokka|gelc_03099,geobacillus_cnambio1,IJIGFOAD_01296,IJIGFOAD,,persistent,False
148,gnl|Prokka|gelc_03100,geobacillus_cnambio1,IJIGFOAD_01296,IJIGFOAD,,persistent,False
149,gnl|Prokka|gelc_03240,geobacillus_cnambio1,IJIGFOAD_01392,IJIGFOAD,,persistent,False
150,gnl|Prokka|gelc_03239,geobacillus_cnambio1,IJIGFOAD_01392,IJIGFOAD,,persistent,False
151,gnl|Prokka|gelc_03338,geobacillus_cnambio1,IJIGFOAD_01456,IJIGFOAD,,persistent,True
152,gnl|Prokka|gelc_03372,geobacillus_cnambio1,IJIGFOAD_01488,IJIGFOAD,,persistent,False
153,gnl|Prokka|gelc_03417,geobacillus_cnambio1,IJIGFOAD_01520,IJIGFOAD,,persistent,False
154,gnl|Prokka|gelc_03465,geobacillus_cnambio1,IJIGFOAD_01552,IJIGFOAD,,persistent,False
155,gnl|Prokka|gelc_03511,geobacillus_cnambio1,IJIGFOAD_01595,IJIGFOAD,,persistent,False
156,gnl|Prokka|gelc_03510,geobacillus_cnambio1,IJIGFOAD_01595,IJIGFOAD,,persistent,False
157,gnl|Prokka|gelc_03602,geobacillus_cnambio1,IJIGFOAD_01666,IJIGFOAD,,persistent,False
158,gnl|Prokka|gelc_03636,geobacillus_cnambio1,IJIGFOAD_01698,IJIGFOAD,,persistent,False
159,gnl|Prokka|gelc_03672,geobacillus_cnambio1,IJIGFOAD_01730,IJIGFOAD,,persistent,False
160,gnl|Prokka|gelc_03726,geobacillus_cnambio1,IJIGFOAD_01772,IJIGFOAD,,persistent,False
161,gnl|Prokka|gelc_03769,geobacillus_cnambio1,IJIGFOAD_01806,IJIGFOAD,,persistent,False
162,gnl|Prokka|gelc_03914,geobacillus_cnambio1,IJIGFOAD_01904,IJIGFOAD,,persistent,True
163,gnl|Prokka|gelc_03996,geobacillus_cnambio1,IJIGFOAD_01968,IJIGFOAD,,persistent,False
164,gnl|Prokka|gelc_04088,geobacillus_cnambio1,IJIGFOAD_02032,IJIGFOAD,,persistent,False
165,gnl|Prokka|gelc_04136,geobacillus_cnambio1,IJIGFOAD_02064,IJIGFOAD,,persistent,True
166,gnl|Prokka|gelc_04175,geobacillus_cnambio1,IJIGFOAD_02096,IJIGFOAD,,persistent,False
167,gnl|Prokka|gelc_04214,geobacillus_cnambio1,IJIGFOAD_02128,IJIGFOAD,,persistent,True
168,gnl|Prokka|gelc_04296,geobacillus_cnambio1,IJIGFOAD_02160,IJIGFOAD,,persistent,True
169,gnl|Prokka|gelc_04380,geobacillus_cnambio1,IJIGFOAD_02225,IJIGFOAD,,persistent,False
170,gnl|Prokka|gelc_04420,geobacillus_cnambio1,IJIGFOAD_02258,IJIGFOAD,,persistent,True
171,gnl|Prokka|gelc_04419,geobacillus_cnambio1,IJIGFOAD_02258,IJIGFOAD,,persistent,True
172,gnl|Prokka|gelc_04503,geobacillus_cnambio1,IJIGFOAD_02386,IJIGFOAD,,persistent,True
173,gnl|Prokka|gelc_04541,geobacillus_cnambio1,IJIGFOAD_02418,IJIGFOAD,,persistent,True
174,gnl|Prokka|gelc_00047,geobacillus_cnambio1,IJIGFOAD_02466,IJIGFOAD,,persistent,False
175,gnl|Prokka|gelc_00084,geobacillus_cnambio1,IJIGFOAD_02498,IJIGFOAD,,persistent,False
176,gnl|Prokka|gelc_00126,geobacillus_cnambio1,IJIGFOAD_02530,IJIGFOAD,,persistent,True
177,gnl|Prokka|gelc_00183,geobacillus_cnambio1,IJIGFOAD_02562,IJIGFOAD,,persistent,False
178,gnl|Prokka|gelc_00227,geobacillus_cnambio1,IJIGFOAD_02594,IJIGFOAD,,persistent,False
179,gnl|Prokka|gelc_00273,geobacillus_cnambio1,IJIGFOAD_02626,IJIGFOAD,,persistent,False
180,gnl|Prokka|gelc_00312,geobacillus_cnambio1,IJIGFOAD_02658,IJIGFOAD,,persistent,False
181,gnl|Prokka|gelc_00354,geobacillus_cnambio1,IJIGFOAD_02690,IJIGFOAD,,persistent,True
182,gnl|Prokka|gelc_00353,geobacillus_cnambio1,IJIGFOAD_02690,IJIGFOAD,,persistent,True
183,gnl|Prokka|gelc_00396,geobacillus_cnambio1,IJIGFOAD_02722,IJIGFOAD,,persistent,False
184,gnl|Prokka|gelc_00436,geobacillus_cnambio1,IJIGFOAD_02754,IJIGFOAD,,persistent,True
185,gnl|Prokka|gelc_00474,geobacillus_cnambio1,IJIGFOAD_02786,IJIGFOAD,,persistent,True
186,gnl|Prokka|gelc_00514,geobacillus_cnambio1,IJIGFOAD_02818,IJIGFOAD,,persistent,False
187,gnl|Prokka|gelc_00554,geobacillus_cnambio1,IJIGFOAD_02850,IJIGFOAD,,persistent,False
188,gnl|Prokka|gelc_00593,geobacillus_cnambio1,IJIGFOAD_02882,IJIGFOAD,,persistent,True
189,gnl|Prokka|gelc_00633,geobacillus_cnambio1,IJIGFOAD_02978,IJIGFOAD,,persistent,False
190,gnl|Prokka|gelc_00672,geobacillus_cnambio1,IJIGFOAD_03010,IJIGFOAD,,persistent,False
191,gnl|Prokka|gelc_00732,geobacillus_cnambio1,IJIGFOAD_03074,IJIGFOAD,,persistent,False
192,gnl|Prokka|gelc_00770,geobacillus_cnambio1,IJIGFOAD_03106,IJIGFOAD,,persistent,True
193,gnl|Prokka|gelc_02855,geobacillus_cnambio1,MEBKDNAM_00702,MEBKDNAM,,persistent,True
194,gnl|Prokka|gelc_02818,geobacillus_cnambio1,MEBKDNAM_00734,MEBKDNAM,,persistent,True
195,gnl|Prokka|gelc_02740,geobacillus_cnambio1,MEBKDNAM_00798,MEBKDNAM,,persistent,True
196,gnl|Prokka|gelc_02686,geobacillus_cnambio1,MEBKDNAM_00863,MEBKDNAM,,persistent,False
197,gnl|Prokka|gelc_02646,geobacillus_cnambio1,MEBKDNAM_00895,MEBKDNAM,,persistent,False
198,gnl|Prokka|gelc_02361,geobacillus_cnambio1,MEBKDNAM_01087,MEBKDNAM,,persistent,False
199,gnl|Prokka|gelc_02115,geobacillus_cnambio1,MEBKDNAM_01279,MEBKDNAM,,persistent,False
200,gnl|Prokka|gelc_01919,geobacillus_cnambio1,MEBKDNAM_01408,MEBKDNAM,,persistent,True
201,gnl|Prokka|gelc_01837,geobacillus_cnambio1,MEBKDNAM_01472,MEBKDNAM,,persistent,False
202,gnl|Prokka|gelc_01798,geobacillus_cnambio1,MEBKDNAM_01504,MEBKDNAM,,persistent,True
203,gnl|Prokka|gelc_01761,geobacillus_cnambio1,MEBKDNAM_01536,MEBKDNAM,,persistent,True
204,gnl|Prokka|gelc_01722,geobacillus_cnambio1,MEBKDNAM_01568,MEBKDNAM,,persistent,False
205,gnl|Prokka|gelc_01678,geobacillus_cnambio1,MEBKDNAM_01603,MEBKDNAM,,persistent,True
206,gnl|Prokka|gelc_01677,geobacillus_cnambio1,MEBKDNAM_01603,MEBKDNAM,,persistent,True
207,gnl|Prokka|gelc_01638,geobacillus_cnambio1,MEBKDNAM_01635,MEBKDNAM,,persistent,False
208,gnl|Prokka|gelc_01637,geobacillus_cnambio1,MEBKDNAM_01635,MEBKDNAM,,persistent,False
209,gnl|Prokka|gelc_01461,geobacillus_cnambio1,MEBKDNAM_01803,MEBKDNAM,,persistent,False
210,gnl|Prokka|gelc_01379,geobacillus_cnambio1,MEBKDNAM_01867,MEBKDNAM,,persistent,False
211,gnl|Prokka|gelc_01380,geobacillus_cnambio1,MEBKDNAM_01867,MEBKDNAM,,persistent,False
212,gnl|Prokka|gelc_02014,geobacillus_cnambio1,MEBKDNAM_01963,MEBKDNAM,,persistent,False
213,gnl|Prokka|gelc_01239,geobacillus_cnambio1,MEBKDNAM_01963,MEBKDNAM,,persistent,False
214,gnl|Prokka|gelc_01200,geobacillus_cnambio1,MEBKDNAM_01995,MEBKDNAM,,persistent,False
215,gnl|Prokka|gelc_00913,geobacillus_cnambio1,MEBKDNAM_02224,MEBKDNAM,,persistent,False
216,gnl|Prokka|gelc_00874,geobacillus_cnambio1,MEBKDNAM_02256,MEBKDNAM,,persistent,False
217,gnl|Prokka|gelc_00655,geobacillus_cnambio1,MEBKDNAM_02448,MEBKDNAM,,persistent,False
218,gnl|Prokka|gelc_00570,geobacillus_cnambio1,MEBKDNAM_02512,MEBKDNAM,,persistent,False
219,gnl|Prokka|gelc_00532,geobacillus_cnambio1,MEBKDNAM_02544,MEBKDNAM,,persistent,False
220,gnl|Prokka|gelc_00490,geobacillus_cnambio1,MEBKDNAM_02576,MEBKDNAM,,persistent,True
221,gnl|Prokka|gelc_00451,geobacillus_cnambio1,MEBKDNAM_02608,MEBKDNAM,,persistent,False
222,gnl|Prokka|gelc_00411,geobacillus_cnambio1,MEBKDNAM_02640,MEBKDNAM,,persistent,False
223,gnl|Prokka|gelc_00371,geobacillus_cnambio1,MEBKDNAM_02672,MEBKDNAM,,persistent,True
224,gnl|Prokka|gelc_00326,geobacillus_cnambio1,MEBKDNAM_02704,MEBKDNAM,,persistent,False
225,gnl|Prokka|gelc_00286,geobacillus_cnambio1,MEBKDNAM_02736,MEBKDNAM,,persistent,True
226,gnl|Prokka|gelc_00199,geobacillus_cnambio1,MEBKDNAM_02800,MEBKDNAM,,persistent,True
227,gnl|Prokka|gelc_00140,geobacillus_cnambio1,MEBKDNAM_02832,MEBKDNAM,,persistent,False
228,gnl|Prokka|gelc_00141,geobacillus_cnambio1,MEBKDNAM_02832,MEBKDNAM,,persistent,False
229,gnl|Prokka|gelc_00059,geobacillus_cnambio1,MEBKDNAM_02896,MEBKDNAM,,persistent,False
230,gnl|Prokka|gelc_04526,geobacillus_cnambio1,MEBKDNAM_03040,MEBKDNAM,,persistent,True
231,gnl|Prokka|gelc_04488,geobacillus_cnambio1,MEBKDNAM_03072,MEBKDNAM,,persistent,True
232,gnl|Prokka|gelc_04401,geobacillus_cnambio1,MEBKDNAM_03136,MEBKDNAM,,persistent,False
233,gnl|Prokka|gelc_04357,geobacillus_cnambio1,MEBKDNAM_03170,MEBKDNAM,,persistent,False
234,gnl|Prokka|gelc_04316,geobacillus_cnambio1,MEBKDNAM_03202,MEBKDNAM,,persistent,False
235,gnl|Prokka|gelc_04279,geobacillus_cnambio1,MEBKDNAM_03234,MEBKDNAM,,shell,False
236,gnl|Prokka|gelc_03977,geobacillus_cnambio1,MEBKDNAM_03458,MEBKDNAM,,persistent,False
237,gnl|Prokka|gelc_03897,geobacillus_cnambio1,MEBKDNAM_03522,MEBKDNAM,,persistent,True
238,gnl|Prokka|gelc_03810,geobacillus_cnambio1,MEBKDNAM_03586,MEBKDNAM,,persistent,False
239,gnl|Prokka|gelc_00837,geobacillus_cnambio1,NCBEONCI_00093,NCBEONCI,,persistent,False
240,gnl|Prokka|gelc_00803,geobacillus_cnambio1,NCBEONCI_00125,NCBEONCI,,persistent,False
241,gnl|Prokka|gelc_00757,geobacillus_cnambio1,NCBEONCI_00157,NCBEONCI,,persistent,False
242,gnl|Prokka|gelc_00720,geobacillus_cnambio1,NCBEONCI_00189,NCBEONCI,,persistent,False
