Gene ID,Organism,Gene Family,Genome ID,UniProtKB,Partition
FLBMOKII_01941,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00032,IJIGFOAD,nan,persistent
KGENGAEB_01968,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00097,IJIGFOAD,nan,persistent
IJIGFOAD_00097,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00097,IJIGFOAD,nan,persistent
AHOIKHHK_02223,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00097,IJIGFOAD,nan,persistent
FDKLAMFJ_00226,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00097,IJIGFOAD,nan,persistent
HLMLLCKC_03151,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00097,IJIGFOAD,nan,persistent
MEBKDNAM_01765,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00097,IJIGFOAD,nan,persistent
NCBEONCI_02338,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00097,IJIGFOAD,nan,persistent
FLBMOKII_01858,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00097,IJIGFOAD,nan,persistent
KGENGAEB_02007,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
IJIGFOAD_00136,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
AHOIKHHK_01400,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
FDKLAMFJ_00265,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
HLMLLCKC_03195,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
MEBKDNAM_01726,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
NCBEONCI_02299,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
FLBMOKII_01817,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00136,IJIGFOAD,Q9L132,persistent
KGENGAEB_00920,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
IJIGFOAD_00168,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
AHOIKHHK_01770,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
FDKLAMFJ_00288,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
HLMLLCKC_00852,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
MEBKDNAM_01671,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
NCBEONCI_02238,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
FLBMOKII_01791,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00168,IJIGFOAD,P12921,persistent
KGENGAEB_00952,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00200,IJIGFOAD,nan,persistent
IJIGFOAD_00200,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00200,IJIGFOAD,nan,persistent
AHOIKHHK_03393,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00200,IJIGFOAD,nan,persistent
FDKLAMFJ_00323,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00200,IJIGFOAD,nan,persistent
HLMLLCKC_00885,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00200,IJIGFOAD,nan,persistent
MEBKDNAM_01635,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00200,IJIGFOAD,nan,persistent
NCBEONCI_02204,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00200,IJIGFOAD,nan,persistent
FLBMOKII_01750,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00200,IJIGFOAD,nan,persistent
KGENGAEB_00984,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00232,IJIGFOAD,nan,persistent
IJIGFOAD_00232,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00232,IJIGFOAD,nan,persistent
AHOIKHHK_01663,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00232,IJIGFOAD,nan,persistent
FDKLAMFJ_00355,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00232,IJIGFOAD,nan,persistent
HLMLLCKC_00917,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00232,IJIGFOAD,nan,persistent
MEBKDNAM_01603,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00232,IJIGFOAD,nan,persistent
NCBEONCI_02172,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00232,IJIGFOAD,nan,persistent
FLBMOKII_01718,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00232,IJIGFOAD,nan,persistent
KGENGAEB_01018,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
IJIGFOAD_00267,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
AHOIKHHK_01630,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
FDKLAMFJ_00388,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
HLMLLCKC_00951,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
MEBKDNAM_01569,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
NCBEONCI_02138,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00267,IJIGFOAD,nan,persistent
FLBMOKII_01684,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00267,IJIGFOAD,Q6BF16,persistent
KGENGAEB_01050,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
IJIGFOAD_00299,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
AHOIKHHK_01598,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
FDKLAMFJ_00420,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
HLMLLCKC_00983,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
MEBKDNAM_01538,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
NCBEONCI_02106,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
FLBMOKII_01652,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00299,IJIGFOAD,P0AEJ0,persistent
KGENGAEB_01082,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00331,IJIGFOAD,nan,persistent
IJIGFOAD_00331,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00331,IJIGFOAD,nan,persistent
AHOIKHHK_01565,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00331,IJIGFOAD,nan,persistent
FDKLAMFJ_00453,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00331,IJIGFOAD,nan,persistent
HLMLLCKC_01016,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00331,IJIGFOAD,nan,persistent
MEBKDNAM_01505,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00331,IJIGFOAD,nan,persistent
NCBEONCI_02073,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00331,IJIGFOAD,nan,persistent
FLBMOKII_01620,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00331,IJIGFOAD,nan,persistent
KGENGAEB_01114,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00363,IJIGFOAD,nan,persistent
IJIGFOAD_00363,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00363,IJIGFOAD,nan,persistent
AHOIKHHK_01533,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00363,IJIGFOAD,nan,persistent
FDKLAMFJ_00485,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00363,IJIGFOAD,nan,persistent
HLMLLCKC_01047,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00363,IJIGFOAD,nan,persistent
MEBKDNAM_01473,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00363,IJIGFOAD,nan,persistent
NCBEONCI_02041,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00363,IJIGFOAD,nan,persistent
FLBMOKII_01587,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00363,IJIGFOAD,nan,persistent
KGENGAEB_03190,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
KGENGAEB_01146,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
IJIGFOAD_00395,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
IJIGFOAD_01558,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
AHOIKHHK_02280,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
AHOIKHHK_01932,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
FDKLAMFJ_01796,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
FDKLAMFJ_00517,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
HLMLLCKC_01079,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
HLMLLCKC_02092,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
MEBKDNAM_00258,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
MEBKDNAM_01441,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
NCBEONCI_01798,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
NCBEONCI_02009,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
FLBMOKII_00287,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
FLBMOKII_01553,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00395,IJIGFOAD,O05522,persistent
KGENGAEB_01178,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00427,IJIGFOAD,nan,persistent
IJIGFOAD_00427,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00427,IJIGFOAD,nan,persistent
AHOIKHHK_01995,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00427,IJIGFOAD,nan,persistent
FDKLAMFJ_00550,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00427,IJIGFOAD,nan,persistent
HLMLLCKC_01111,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00427,IJIGFOAD,nan,persistent
MEBKDNAM_01410,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00427,IJIGFOAD,nan,persistent
NCBEONCI_01977,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00427,IJIGFOAD,nan,persistent
FLBMOKII_01521,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00427,IJIGFOAD,nan,persistent
KGENGAEB_01210,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
IJIGFOAD_00459,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
AHOIKHHK_01106,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
FDKLAMFJ_00584,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
HLMLLCKC_01143,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
MEBKDNAM_01378,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
NCBEONCI_01923,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
FLBMOKII_01488,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00459,IJIGFOAD,A0A1C7E424,persistent
KGENGAEB_01242,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
IJIGFOAD_00491,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
AHOIKHHK_02974,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
FDKLAMFJ_00622,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
HLMLLCKC_01190,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
MEBKDNAM_01344,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
NCBEONCI_01891,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
FLBMOKII_01456,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00491,IJIGFOAD,O32213,persistent
KGENGAEB_00426,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
IJIGFOAD_00556,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
AHOIKHHK_03445,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
FDKLAMFJ_00697,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
HLMLLCKC_03039,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
NCBEONCI_00813,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
FLBMOKII_01388,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00556,IJIGFOAD,P37794,persistent
KGENGAEB_00394,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
IJIGFOAD_00588,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
AHOIKHHK_01218,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
FDKLAMFJ_00728,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
HLMLLCKC_03008,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
MEBKDNAM_01251,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
NCBEONCI_00844,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
FLBMOKII_01357,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00588,IJIGFOAD,P9WQ37,persistent
KGENGAEB_00362,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
IJIGFOAD_00620,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
AHOIKHHK_00567,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
FDKLAMFJ_00760,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
HLMLLCKC_02976,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
MEBKDNAM_01218,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
NCBEONCI_00876,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
FLBMOKII_01325,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00620,IJIGFOAD,Q7CR30,persistent
KGENGAEB_00330,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
IJIGFOAD_00652,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
AHOIKHHK_00535,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
FDKLAMFJ_00792,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
HLMLLCKC_02944,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
MEBKDNAM_01186,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
NCBEONCI_00908,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
FLBMOKII_01293,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00652,IJIGFOAD,P80700,persistent
KGENGAEB_00298,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00684,IJIGFOAD,nan,persistent
IJIGFOAD_00684,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00684,IJIGFOAD,nan,persistent
AHOIKHHK_02871,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00684,IJIGFOAD,nan,persistent
FDKLAMFJ_00824,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00684,IJIGFOAD,nan,persistent
HLMLLCKC_01703,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00684,IJIGFOAD,nan,persistent
MEBKDNAM_01153,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00684,IJIGFOAD,nan,persistent
NCBEONCI_00940,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00684,IJIGFOAD,nan,persistent
FLBMOKII_01261,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00684,IJIGFOAD,nan,persistent
KGENGAEB_00266,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
IJIGFOAD_00716,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
AHOIKHHK_02839,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
FDKLAMFJ_00856,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
HLMLLCKC_01735,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
MEBKDNAM_01120,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
NCBEONCI_00973,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
FLBMOKII_01229,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00716,IJIGFOAD,P64325,persistent
KGENGAEB_00234,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
IJIGFOAD_00748,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
AHOIKHHK_02807,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
FDKLAMFJ_00888,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
HLMLLCKC_01767,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
MEBKDNAM_01088,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
NCBEONCI_01005,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
FLBMOKII_01197,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00748,IJIGFOAD,P05654,persistent
KGENGAEB_00202,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
IJIGFOAD_00780,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
AHOIKHHK_00894,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
FDKLAMFJ_00930,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
HLMLLCKC_01799,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
MEBKDNAM_01056,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
NCBEONCI_01037,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
FLBMOKII_01164,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00780,IJIGFOAD,P60392,persistent
KGENGAEB_00170,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
IJIGFOAD_00812,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
AHOIKHHK_03011,Geobacillus_thermodenitrificans_K1041,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
FDKLAMFJ_00962,Geobacillus_thermodenitrificans_ID-1,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
HLMLLCKC_01831,Geobacillus_thermodenitrificans_OS27,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
MEBKDNAM_01024,Geobacillus_thermodenitrificans_NG80-2,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
NCBEONCI_01069,Geobacillus_thermodenitrificans_JSC_T9a,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
FLBMOKII_01132,Geobacillus_thermodenitrificans_T12,IJIGFOAD_00812,IJIGFOAD,A0A0H3JRU9,persistent
KGENGAEB_00138,Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465,IJIGFOAD_00844,IJIGFOAD,D5E0A1,persistent
IJIGFOAD_00844,Geobacillus_thermodenitrificans_KCTC3902,IJIGFOAD_00844,IJIGFOAD,D5E0A1,persistent
