"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","geobacillus_cnambio1","Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465","Geobacillus_thermodenitrificans_KCTC3902","Geobacillus_thermodenitrificans_K1041","Geobacillus_thermodenitrificans_ID-1","Geobacillus_thermodenitrificans_OS27","Geobacillus_thermodenitrificans_NG80-2","Geobacillus_thermodenitrificans_JSC_T9a","Geobacillus_thermodenitrificans_T12"
"IJIGFOAD_00299","persistent","Multidrug export protein EmrB","8","8","1.0","NA","NA","","","","1667","1667","1667.0","","KGENGAEB_01050","IJIGFOAD_00299","AHOIKHHK_01598","FDKLAMFJ_00420","HLMLLCKC_00983","MEBKDNAM_01538","NCBEONCI_02106","FLBMOKII_01652"
"IJIGFOAD_00331","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","164","164","164.0","","KGENGAEB_01082","IJIGFOAD_00331","AHOIKHHK_01565","FDKLAMFJ_00453","HLMLLCKC_01016","MEBKDNAM_01505","NCBEONCI_02073","FLBMOKII_01620"
"IJIGFOAD_00363","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","161","467","314.0","","KGENGAEB_01114","IJIGFOAD_00363","AHOIKHHK_01533","FDKLAMFJ_00485","HLMLLCKC_01047","MEBKDNAM_01473","NCBEONCI_02041","FLBMOKII_01587"
"IJIGFOAD_00395","persistent","Sec-independent protein translocase protein TatAy","8","16","2.0","NA","NA","","","","152","170","161.0","","KGENGAEB_03190" "KGENGAEB_01146","IJIGFOAD_00395" "IJIGFOAD_01558","AHOIKHHK_02280" "AHOIKHHK_01932","FDKLAMFJ_01796" "FDKLAMFJ_00517","HLMLLCKC_01079" "HLMLLCKC_02092","MEBKDNAM_00258" "MEBKDNAM_01441","NCBEONCI_01798" "NCBEONCI_02009","FLBMOKII_00287" "FLBMOKII_01553"
"IJIGFOAD_00427","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","773","773","773.0","","KGENGAEB_01178","IJIGFOAD_00427","AHOIKHHK_01995","FDKLAMFJ_00550","HLMLLCKC_01111","MEBKDNAM_01410","NCBEONCI_01977","FLBMOKII_01521"
"IJIGFOAD_00459","persistent","Na(+)%2C Li(+)%2C K(+)/H(+) antiporter","8","8","1.0","NA","NA","","","","1259","1259","1259.0","","KGENGAEB_01210","IJIGFOAD_00459","AHOIKHHK_01106","FDKLAMFJ_00584","HLMLLCKC_01143","MEBKDNAM_01378","NCBEONCI_01923","FLBMOKII_01488"
"IJIGFOAD_00491","persistent","Sulfite reductase [NADPH] hemoprotein beta-component","8","8","1.0","NA","NA","","","","1721","1721","1721.0","","KGENGAEB_01242","IJIGFOAD_00491","AHOIKHHK_02974","FDKLAMFJ_00622","HLMLLCKC_01190","MEBKDNAM_01344","NCBEONCI_01891","FLBMOKII_01456"
"IJIGFOAD_00556","persistent","Chitooligosaccharide deacetylase ChbG","7","7","1.0","NA","NA","","","","737","737","737.0","","KGENGAEB_00426","IJIGFOAD_00556","AHOIKHHK_03445","FDKLAMFJ_00697","HLMLLCKC_03039","","NCBEONCI_00813","FLBMOKII_01388"
"IJIGFOAD_00588","persistent","Long-chain-fatty-acid--CoA ligase FadD13","8","8","1.0","NA","NA","","","","1574","1574","1574.0","","KGENGAEB_00394","IJIGFOAD_00588","AHOIKHHK_01218","FDKLAMFJ_00728","HLMLLCKC_03008","MEBKDNAM_01251","NCBEONCI_00844","FLBMOKII_01357"
"IJIGFOAD_00620","persistent","Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons","8","8","1.0","NA","NA","","","","731","731","731.0","","KGENGAEB_00362","IJIGFOAD_00620","AHOIKHHK_00567","FDKLAMFJ_00760","HLMLLCKC_02976","MEBKDNAM_01218","NCBEONCI_00876","FLBMOKII_01325"
"IJIGFOAD_00652","persistent","Elongation factor Ts","8","8","1.0","NA","NA","","","","884","884","884.0","","KGENGAEB_00330","IJIGFOAD_00652","AHOIKHHK_00535","FDKLAMFJ_00792","HLMLLCKC_02944","MEBKDNAM_01186","NCBEONCI_00908","FLBMOKII_01293"
"IJIGFOAD_00684","persistent","Flagellar hook-basal body complex protein FliE","8","8","1.0","NA","NA","","","","296","296","296.0","","KGENGAEB_00298","IJIGFOAD_00684","AHOIKHHK_02871","FDKLAMFJ_00824","HLMLLCKC_01703","MEBKDNAM_01153","NCBEONCI_00940","FLBMOKII_01261"
"IJIGFOAD_00716","persistent","ATP-dependent DNA helicase RecG","8","8","1.0","NA","NA","","","","2048","2048","2048.0","","KGENGAEB_00266","IJIGFOAD_00716","AHOIKHHK_02839","FDKLAMFJ_00856","HLMLLCKC_01735","MEBKDNAM_01120","NCBEONCI_00973","FLBMOKII_01229"
"IJIGFOAD_00748","persistent","Aspartate carbamoyltransferase","8","8","1.0","NA","NA","","","","926","926","926.0","","KGENGAEB_00234","IJIGFOAD_00748","AHOIKHHK_02807","FDKLAMFJ_00888","HLMLLCKC_01767","MEBKDNAM_01088","NCBEONCI_01005","FLBMOKII_01197"
"IJIGFOAD_00780","persistent","Ribosomal RNA small subunit methyltransferase H","8","8","1.0","NA","NA","","","","932","932","932.0","","KGENGAEB_00202","IJIGFOAD_00780","AHOIKHHK_00894","FDKLAMFJ_00930","HLMLLCKC_01799","MEBKDNAM_01056","NCBEONCI_01037","FLBMOKII_01164"
"IJIGFOAD_00812","persistent","Pyruvate carboxylase","8","8","1.0","NA","NA","","","","3443","3443","3443.0","","KGENGAEB_00170","IJIGFOAD_00812","AHOIKHHK_03011","FDKLAMFJ_00962","HLMLLCKC_01831","MEBKDNAM_01024","NCBEONCI_01069","FLBMOKII_01132"
"IJIGFOAD_00844","persistent","N-acetyldiaminopimelate deacetylase","8","8","1.0","NA","NA","","","","1133","1133","1133.0","","KGENGAEB_00138","IJIGFOAD_00844","AHOIKHHK_00329","FDKLAMFJ_00993","HLMLLCKC_01863","MEBKDNAM_00992","NCBEONCI_01100","FLBMOKII_01099"
"IJIGFOAD_00876","persistent","Phosphocarrier protein HPr","8","8","1.0","NA","NA","","","","263","263","263.0","","KGENGAEB_00106","IJIGFOAD_00876","AHOIKHHK_00297","FDKLAMFJ_01025","HLMLLCKC_01895","MEBKDNAM_00960","NCBEONCI_01132","FLBMOKII_01067"
"IJIGFOAD_00908","persistent","Dipeptidyl-peptidase 5","8","8","1.0","NA","NA","","","","2018","2024","2018.75","","KGENGAEB_00074","IJIGFOAD_00908","AHOIKHHK_00243","FDKLAMFJ_01083","HLMLLCKC_01506","MEBKDNAM_00929","NCBEONCI_01162","FLBMOKII_01010"
"IJIGFOAD_00940","persistent","putative amino acid permease YhdG","8","8","1.0","NA","NA","","","","1415","1415","1415.0","","KGENGAEB_00042","IJIGFOAD_00940","AHOIKHHK_00212","FDKLAMFJ_01114","HLMLLCKC_01475","MEBKDNAM_00898","NCBEONCI_01193","FLBMOKII_00979"
"IJIGFOAD_00972","persistent","Ferredoxin-like protein FixX","8","8","1.0","NA","NA","","","","287","287","287.0","","KGENGAEB_00010","IJIGFOAD_00972","AHOIKHHK_03024","FDKLAMFJ_01148","HLMLLCKC_01971","MEBKDNAM_00867","NCBEONCI_01223","FLBMOKII_00948"
"IJIGFOAD_01037","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","668","668","668.0","","KGENGAEB_02513","IJIGFOAD_01037","AHOIKHHK_00971","FDKLAMFJ_01232","HLMLLCKC_02601","MEBKDNAM_00770","NCBEONCI_01287","FLBMOKII_00860"
"IJIGFOAD_01069","persistent","Molybdopterin synthase sulfur carrier subunit","8","8","1.0","NA","NA","","","","230","230","230.0","","KGENGAEB_02481","IJIGFOAD_01069","AHOIKHHK_01003","FDKLAMFJ_01264","HLMLLCKC_02569","MEBKDNAM_00736","NCBEONCI_01319","FLBMOKII_00828"
"IJIGFOAD_01101","persistent","hypothetical protein","7","7","1.0","NA","NA","","","","152","152","152.0","","KGENGAEB_03218","IJIGFOAD_01101","AHOIKHHK_01035","FDKLAMFJ_01297","HLMLLCKC_02537","","NCBEONCI_01351","FLBMOKII_00796"
"IJIGFOAD_01133","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","353","353","353.0","","KGENGAEB_02234","IJIGFOAD_01133","AHOIKHHK_01069","FDKLAMFJ_01331","HLMLLCKC_02509","MEBKDNAM_00674","NCBEONCI_01384","FLBMOKII_00767"
"IJIGFOAD_01165","persistent","Protoporphyrinogen oxidase","8","8","1.0","NA","NA","","","","1442","1442","1442.0","","KGENGAEB_02266","IJIGFOAD_01165","AHOIKHHK_00511","FDKLAMFJ_01363","HLMLLCKC_00202","MEBKDNAM_00642","NCBEONCI_01416","FLBMOKII_00735"
"IJIGFOAD_01197","persistent","Small%2C acid-soluble spore protein 1","8","24","3.0","NA","NA","","","","203","212","207.0","","KGENGAEB_00046" "KGENGAEB_00584" "KGENGAEB_02298","IJIGFOAD_02561" "IJIGFOAD_01197" "IJIGFOAD_00936","AHOIKHHK_02612" "AHOIKHHK_00479" "AHOIKHHK_00215","FDKLAMFJ_02840" "FDKLAMFJ_01111" "FDKLAMFJ_01395","HLMLLCKC_00395" "HLMLLCKC_00170" "HLMLLCKC_01478","MEBKDNAM_00610" "MEBKDNAM_00901" "MEBKDNAM_02812","NCBEONCI_00641" "NCBEONCI_01448" "NCBEONCI_01190","FLBMOKII_00982" "FLBMOKII_00703" "FLBMOKII_02881"
"IJIGFOAD_01229","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","476","476","476.0","","KGENGAEB_02330","IJIGFOAD_01229","AHOIKHHK_00447","FDKLAMFJ_01427","HLMLLCKC_00138","MEBKDNAM_00578","NCBEONCI_01481","FLBMOKII_00671"
"IJIGFOAD_01282","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1079","1079","1079.0","","KGENGAEB_02989","IJIGFOAD_01282","AHOIKHHK_02300","FDKLAMFJ_01495","HLMLLCKC_01451","MEBKDNAM_00525","NCBEONCI_01524","FLBMOKII_00600"
"IJIGFOAD_01314","persistent","ECF RNA polymerase sigma factor SigW","6","6","1.0","NA","NA","","","","542","542","542.0","","KGENGAEB_02957","IJIGFOAD_01314","","FDKLAMFJ_01526","","MEBKDNAM_00493","NCBEONCI_01555","FLBMOKII_00567"
"IJIGFOAD_01346","persistent","ESX secretion system protein YukD","8","8","1.0","NA","NA","","","","239","239","239.0","","KGENGAEB_03272","IJIGFOAD_01346","AHOIKHHK_02901","FDKLAMFJ_01565","HLMLLCKC_02389","MEBKDNAM_00461","NCBEONCI_01851","FLBMOKII_00528"
"IJIGFOAD_01378","persistent","Sulfate adenylyltransferase","8","8","1.0","NA","NA","","","","1160","1160","1160.0","","KGENGAEB_02380","IJIGFOAD_01378","AHOIKHHK_02682","FDKLAMFJ_01611","HLMLLCKC_00832","MEBKDNAM_00429","NCBEONCI_02641","FLBMOKII_00487"
"IJIGFOAD_01410","persistent","Carbon monoxide dehydrogenase medium chain","8","8","1.0","NA","NA","","","","836","836","836.0","","KGENGAEB_02412","IJIGFOAD_01410","AHOIKHHK_01765","FDKLAMFJ_01644","HLMLLCKC_00800","MEBKDNAM_00396","NCBEONCI_02673","FLBMOKII_00455"
"IJIGFOAD_01442","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","290","290","290.0","","KGENGAEB_02444","IJIGFOAD_01442","AHOIKHHK_01706","FDKLAMFJ_01684","HLMLLCKC_02701","MEBKDNAM_00364","NCBEONCI_02705","FLBMOKII_00422"
"IJIGFOAD_01474","persistent","hypothetical protein","8","9","1.12","NA","NA","","","","236","350","315.0","","KGENGAEB_03409","IJIGFOAD_01474" "IJIGFOAD_01462","AHOIKHHK_00439","FDKLAMFJ_01705","HLMLLCKC_01586","MEBKDNAM_00345","NCBEONCI_02730","FLBMOKII_00388"
"IJIGFOAD_01506","persistent","Adaptive-response sensory-kinase SasA","8","8","1.0","NA","NA","","","","1418","1418","1418.0","","KGENGAEB_02695","IJIGFOAD_01506","AHOIKHHK_03252","FDKLAMFJ_01741","HLMLLCKC_01554","MEBKDNAM_00313","NCBEONCI_02760","FLBMOKII_00342"
"IJIGFOAD_01538","persistent","N5-carboxyaminoimidazole ribonucleotide synthase","8","8","1.0","NA","NA","","","","1157","1157","1157.0","","KGENGAEB_02663","IJIGFOAD_01538","AHOIKHHK_01449","FDKLAMFJ_01774","HLMLLCKC_01634","MEBKDNAM_00280","NCBEONCI_02793","FLBMOKII_00310"
"IJIGFOAD_01581","persistent","hypothetical protein","6","6","1.0","NA","NA","","","","152","152","152.0","","","IJIGFOAD_01581","AHOIKHHK_01164","FDKLAMFJ_01819","HLMLLCKC_01293","MEBKDNAM_00235","","FLBMOKII_00263"
"IJIGFOAD_01613","persistent","putative siderophore transport system ATP-binding protein YusV","8","16","2.0","NA","NA","","","","800","812","806.0","","KGENGAEB_02612" "KGENGAEB_01193","IJIGFOAD_01613" "IJIGFOAD_00442","AHOIKHHK_01980" "AHOIKHHK_01196","FDKLAMFJ_01851" "FDKLAMFJ_00565","HLMLLCKC_01126" "HLMLLCKC_01325","MEBKDNAM_00203" "MEBKDNAM_01395","NCBEONCI_03474" "NCBEONCI_01940","FLBMOKII_01505" "FLBMOKII_00231"
"IJIGFOAD_01645","persistent","hypothetical protein","8","9","1.12","NA","NA","","","","158","881","756.33","","KGENGAEB_02644","IJIGFOAD_01645","AHOIKHHK_03183","FDKLAMFJ_01883","HLMLLCKC_01344","MEBKDNAM_00184","NCBEONCI_03508" "NCBEONCI_03507","FLBMOKII_00199"
"IJIGFOAD_01684","persistent","50S ribosomal protein L15","8","8","1.0","NA","NA","","","","440","440","440.0","","KGENGAEB_03021","IJIGFOAD_01684","AHOIKHHK_00779","FDKLAMFJ_01926","HLMLLCKC_02041","MEBKDNAM_00142","NCBEONCI_01593","FLBMOKII_00146"
"IJIGFOAD_01716","persistent","50S ribosomal protein L11","8","8","1.0","NA","NA","","","","425","425","425.0","","KGENGAEB_03053","IJIGFOAD_01716","AHOIKHHK_00747","FDKLAMFJ_01958","HLMLLCKC_01673","MEBKDNAM_00110","NCBEONCI_01625","FLBMOKII_00114"
"IJIGFOAD_01756","persistent","ATP-dependent zinc metalloprotease FtsH","8","8","1.0","NA","NA","","","","1895","1895","1895.0","","KGENGAEB_03308","IJIGFOAD_01756","AHOIKHHK_01870","FDKLAMFJ_01998","HLMLLCKC_02006","MEBKDNAM_00070","NCBEONCI_01686","FLBMOKII_00073"
"IJIGFOAD_01790","persistent","Transition state regulatory protein AbrB","8","8","1.0","NA","NA","","","","293","293","293.0","","KGENGAEB_03125","IJIGFOAD_01790","AHOIKHHK_02464","FDKLAMFJ_02033","HLMLLCKC_01949","MEBKDNAM_00035","NCBEONCI_01652","FLBMOKII_00037"
"IJIGFOAD_01826","persistent","Ribonuclease P protein component","8","8","1.0","NA","NA","","","","365","365","365.0","","KGENGAEB_01566","IJIGFOAD_01826","AHOIKHHK_01808","FDKLAMFJ_02069","HLMLLCKC_01599","MEBKDNAM_03591","NCBEONCI_03097","FLBMOKII_03655"
"IJIGFOAD_01858","persistent","Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN","6","6","1.0","NA","NA","","","","548","548","548.0","","KGENGAEB_01598","IJIGFOAD_01858","","FDKLAMFJ_02101","HLMLLCKC_01630","MEBKDNAM_03555","NCBEONCI_03066",""
"IJIGFOAD_01890","persistent","Serine-protein kinase RsbW","8","8","1.0","NA","NA","","","","479","488","486.88","","KGENGAEB_01630","IJIGFOAD_01890","AHOIKHHK_02040","FDKLAMFJ_02134","HLMLLCKC_02857","MEBKDNAM_03520","NCBEONCI_03033","FLBMOKII_03566"
"IJIGFOAD_01954","persistent","ATP synthase subunit delta","8","8","1.0","NA","NA","","","","536","536","536.0","","KGENGAEB_01694","IJIGFOAD_01954","AHOIKHHK_02104","FDKLAMFJ_02198","HLMLLCKC_02793","MEBKDNAM_03455","NCBEONCI_02968","FLBMOKII_03500"
"IJIGFOAD_01986","persistent","Cell shape-determining protein MreB","8","16","2.0","NA","NA","","","","1001","1022","1011.5","","KGENGAEB_01726" "KGENGAEB_00731","IJIGFOAD_02708" "IJIGFOAD_01986","AHOIKHHK_00047" "AHOIKHHK_02133","FDKLAMFJ_02988" "FDKLAMFJ_02227","HLMLLCKC_02760" "HLMLLCKC_02283","MEBKDNAM_03423" "MEBKDNAM_02666","NCBEONCI_02823" "NCBEONCI_00494","FLBMOKII_02735" "FLBMOKII_03471"
"IJIGFOAD_02018","cloud","hypothetical protein","3","3","1.0","NA","NA","","","","1736","1736","1736.0","","KGENGAEB_01758","IJIGFOAD_02018","","","","","NCBEONCI_02842",""
"IJIGFOAD_02050","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","377","377","377.0","","KGENGAEB_01790","IJIGFOAD_02050","AHOIKHHK_01833","FDKLAMFJ_02306","HLMLLCKC_00070","MEBKDNAM_03345","NCBEONCI_02883","FLBMOKII_03365"
"IJIGFOAD_02082","persistent","Ribose import binding protein RbsB","8","10","1.25","NA","NA","","","","197","932","730.1","","KGENGAEB_02206","IJIGFOAD_02082","AHOIKHHK_03259" "AHOIKHHK_03258","FDKLAMFJ_02338","HLMLLCKC_02683" "HLMLLCKC_02465","MEBKDNAM_03316","NCBEONCI_02916","FLBMOKII_03331"
"IJIGFOAD_02114","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","140","140","140.0","","KGENGAEB_02174","IJIGFOAD_02114","AHOIKHHK_01327","FDKLAMFJ_02372","HLMLLCKC_02369","MEBKDNAM_03268","NCBEONCI_02948","FLBMOKII_03298"
"IJIGFOAD_02146","cloud","hypothetical protein","4","4","1.0","NA","NA","","","","1256","1256","1256.0","","KGENGAEB_02143","IJIGFOAD_02146","","FDKLAMFJ_02421","","MEBKDNAM_03235","",""
"IJIGFOAD_02178","persistent","Flagellar protein FliT","8","8","1.0","NA","NA","","","","353","353","353.0","","KGENGAEB_02111","IJIGFOAD_02178","AHOIKHHK_02994","FDKLAMFJ_02463","HLMLLCKC_03340","MEBKDNAM_03200","NCBEONCI_03180","FLBMOKII_03227"
"IJIGFOAD_02210","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","293","293","293.0","","KGENGAEB_02079","IJIGFOAD_02210","AHOIKHHK_00679","FDKLAMFJ_02497","HLMLLCKC_03307","MEBKDNAM_03168","NCBEONCI_03147","FLBMOKII_03192"
"IJIGFOAD_02244","persistent","4-hydroxy-tetrahydrodipicolinate synthase","8","8","1.0","NA","NA","","","","929","929","929.0","","KGENGAEB_02044","IJIGFOAD_02244","AHOIKHHK_00711","FDKLAMFJ_02529","HLMLLCKC_03275","MEBKDNAM_03136","NCBEONCI_03115","FLBMOKII_03160"
"IJIGFOAD_02276","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","239","239","239.0","","KGENGAEB_03169","IJIGFOAD_02276","AHOIKHHK_02737","FDKLAMFJ_02563","HLMLLCKC_03242","MEBKDNAM_03103","NCBEONCI_03310","FLBMOKII_03127"
"IJIGFOAD_02340","cloud","hypothetical protein","2","3","1.5","NA","NA","","","","344","347","346.0","","","IJIGFOAD_02936" "IJIGFOAD_02340","AHOIKHHK_03491","","","","",""
"IJIGFOAD_02372","persistent","Lipoyl synthase","8","8","1.0","NA","NA","","","","896","896","896.0","","KGENGAEB_02869","IJIGFOAD_02372","AHOIKHHK_00644","FDKLAMFJ_02596","HLMLLCKC_00666","MEBKDNAM_03073","NCBEONCI_03280","FLBMOKII_03100"
"IJIGFOAD_02404","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","353","353","353.0","","KGENGAEB_02837","IJIGFOAD_02404","AHOIKHHK_00612","FDKLAMFJ_02628","HLMLLCKC_00698","MEBKDNAM_03041","NCBEONCI_03248","FLBMOKII_03068"
"IJIGFOAD_02452","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","419","419","419.0","","KGENGAEB_00475","IJIGFOAD_02452","AHOIKHHK_01262","FDKLAMFJ_02699","HLMLLCKC_02724","MEBKDNAM_02920","NCBEONCI_00751","FLBMOKII_03017"
"IJIGFOAD_02516","persistent","putative protein","8","8","1.0","NA","NA","","","","1301","1301","1301.0","","KGENGAEB_00539","IJIGFOAD_02516","AHOIKHHK_01486","FDKLAMFJ_02764","HLMLLCKC_00463","MEBKDNAM_02857","NCBEONCI_00686","FLBMOKII_02941"
"IJIGFOAD_02548","persistent","Anaerobic nitric oxide reductase transcription regulator NorR","8","8","1.0","NA","NA","","","","431","1460","1023.5","","KGENGAEB_00571","IJIGFOAD_02548","AHOIKHHK_00359","FDKLAMFJ_02810","HLMLLCKC_02428","MEBKDNAM_02825","NCBEONCI_00654","FLBMOKII_02907"
"IJIGFOAD_02612","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","875","875","875.0","","KGENGAEB_00635","IJIGFOAD_02612","AHOIKHHK_00142","FDKLAMFJ_02893","HLMLLCKC_00344","MEBKDNAM_02761","NCBEONCI_00590","FLBMOKII_02830"
"IJIGFOAD_02644","persistent","Putative aliphatic sulfonates-binding protein","8","8","1.0","NA","NA","","","","821","998","975.88","","KGENGAEB_00667","IJIGFOAD_02644","AHOIKHHK_00110","FDKLAMFJ_02925","HLMLLCKC_02346","MEBKDNAM_02729","NCBEONCI_00558","FLBMOKII_02798"
"IJIGFOAD_02676","persistent","Lon protease 1","8","8","1.0","NA","NA","","","","2327","2327","2327.0","","KGENGAEB_00699","IJIGFOAD_02676","AHOIKHHK_00079","FDKLAMFJ_02956","HLMLLCKC_02315","MEBKDNAM_02698","NCBEONCI_00526","FLBMOKII_02767"
"IJIGFOAD_02740","persistent","Stage V sporulation protein B","8","8","1.0","NA","NA","","","","1562","1562","1562.0","","KGENGAEB_00763","IJIGFOAD_02740","AHOIKHHK_00015","FDKLAMFJ_03020","HLMLLCKC_02251","MEBKDNAM_02634","NCBEONCI_00462","FLBMOKII_02703"
"IJIGFOAD_02772","persistent","Endolytic murein transglycosylase","8","8","1.0","NA","NA","","","","1091","1091","1091.0","","KGENGAEB_00795","IJIGFOAD_02772","AHOIKHHK_02601","FDKLAMFJ_03052","HLMLLCKC_02220","MEBKDNAM_02603","NCBEONCI_00431","FLBMOKII_02670"
"IJIGFOAD_02804","persistent","tRNA-specific adenosine deaminase","8","8","1.0","NA","NA","","","","467","467","467.0","","KGENGAEB_00827","IJIGFOAD_02804","AHOIKHHK_02569","FDKLAMFJ_03084","HLMLLCKC_02188","MEBKDNAM_02571","NCBEONCI_00399","FLBMOKII_02637"
"IJIGFOAD_02836","persistent","Putative pyruvate%2C phosphate dikinase regulatory protein","8","8","1.0","NA","NA","","","","800","800","800.0","","KGENGAEB_00859","IJIGFOAD_02836","AHOIKHHK_02537","FDKLAMFJ_03118","HLMLLCKC_01362","MEBKDNAM_02539","NCBEONCI_00367","FLBMOKII_02603"
"IJIGFOAD_02868","persistent","putative protein YqgN","8","8","1.0","NA","NA","","","","569","569","569.0","","KGENGAEB_00891","IJIGFOAD_02868","AHOIKHHK_02505","FDKLAMFJ_03150","HLMLLCKC_01394","MEBKDNAM_02507","NCBEONCI_00335","FLBMOKII_02571"
"IJIGFOAD_02964","persistent","putative glycine dehydrogenase (decarboxylating) subunit 1","8","8","1.0","NA","NA","","","","1346","1346","1346.0","","KGENGAEB_01548","IJIGFOAD_02964","AHOIKHHK_03463","FDKLAMFJ_03177","HLMLLCKC_00589","MEBKDNAM_02481","NCBEONCI_00309","FLBMOKII_02545"
"IJIGFOAD_03060","persistent","Glucose-6-phosphate 1-dehydrogenase","8","8","1.0","NA","NA","","","","1496","1496","1496.0","","KGENGAEB_01452","IJIGFOAD_03060","AHOIKHHK_03048","FDKLAMFJ_03258","HLMLLCKC_00223","MEBKDNAM_02384","NCBEONCI_00192","FLBMOKII_02460"
"IJIGFOAD_03092","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","611","611","611.0","","KGENGAEB_01420","IJIGFOAD_03092","AHOIKHHK_03080","FDKLAMFJ_03290","HLMLLCKC_00255","MEBKDNAM_02352","NCBEONCI_00160","FLBMOKII_02427"
