locus_tag	ftype	length_bp	gene	EC_number	COG	product
KGENGAEB_00142	CDS	666	ktrA		COG0569	Ktr system potassium uptake protein A
KGENGAEB_00143	CDS	1668	rnjA	3.1.-.-	COG0595	Ribonuclease J1
KGENGAEB_00144	CDS	216				hypothetical protein
KGENGAEB_00145	CDS	777				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
KGENGAEB_00146	CDS	555		3.5.1.88		Peptide deformylase 2
KGENGAEB_00147	CDS	1110	pdhA_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
KGENGAEB_00148	CDS	978	pdhB_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
KGENGAEB_00149	CDS	1311	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
KGENGAEB_00150	CDS	1413	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
KGENGAEB_00151	CDS	243				hypothetical protein
KGENGAEB_00152	CDS	378				hypothetical protein
KGENGAEB_00153	CDS	126				hypothetical protein
KGENGAEB_00154	CDS	1473	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
KGENGAEB_00155	CDS	960		1.6.5.11	COG2070	NADH:quinone reductase
KGENGAEB_00156	CDS	309				hypothetical protein
KGENGAEB_00157	CDS	216				hypothetical protein
KGENGAEB_00158	CDS	795	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
KGENGAEB_00159	CDS	99				hypothetical protein
KGENGAEB_00160	CDS	174				hypothetical protein
KGENGAEB_00161	CDS	1845	typA		COG1217	GTP-binding protein TypA/BipA
KGENGAEB_00162	CDS	309				hypothetical protein
KGENGAEB_00163	CDS	285				hypothetical protein
KGENGAEB_00164	CDS	201				hypothetical protein
KGENGAEB_00165	CDS	594				hypothetical protein
KGENGAEB_00166	CDS	1332				hypothetical protein
KGENGAEB_00167	CDS	507				hypothetical protein
KGENGAEB_00168	CDS	288				hypothetical protein
KGENGAEB_00169	CDS	1212	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
KGENGAEB_00170	CDS	3444	pycA	6.4.1.1		Pyruvate carboxylase
KGENGAEB_00171	CDS	954	ctaA_1	1.3.-.-		Heme A synthase
KGENGAEB_00172	CDS	924	ctaB2	2.5.1.141	COG0109	Protoheme IX farnesyltransferase 2
KGENGAEB_00173	CDS	1071	ctaC	1.9.3.1		Cytochrome c oxidase subunit 2
KGENGAEB_00174	CDS	1869	ctaD	1.9.3.1		Cytochrome c oxidase subunit 1
KGENGAEB_00175	CDS	621	ctaE	1.9.3.1		Cytochrome c oxidase subunit 3
KGENGAEB_00176	CDS	333	caaD	1.9.3.1		Cytochrome c oxidase subunit 4B
KGENGAEB_00177	CDS	903				hypothetical protein
KGENGAEB_00178	CDS	456				hypothetical protein
KGENGAEB_00179	CDS	294				hypothetical protein
KGENGAEB_00180	CDS	360				hypothetical protein
KGENGAEB_00181	CDS	426	hrp1		COG0517	Hypoxic response protein 1
KGENGAEB_00182	CDS	1008				hypothetical protein
KGENGAEB_00183	CDS	405				hypothetical protein
KGENGAEB_00184	CDS	195				hypothetical protein
KGENGAEB_00185	CDS	372				hypothetical protein
KGENGAEB_00186	CDS	447				hypothetical protein
KGENGAEB_00187	CDS	276				hypothetical protein
KGENGAEB_00188	CDS	390				hypothetical protein
KGENGAEB_00189	CDS	609	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
KGENGAEB_00190	CDS	495	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
KGENGAEB_00191	CDS	1236	ylbJ		COG3314	Sporulation integral membrane protein YlbJ
KGENGAEB_00192	CDS	780			COG1752	putative NTE family protein
KGENGAEB_00193	CDS	1020	ylbL		COG3480	putative protein YlbL
KGENGAEB_00194	CDS	1221	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
KGENGAEB_00195	CDS	543				hypothetical protein
KGENGAEB_00196	CDS	327				hypothetical protein
KGENGAEB_00197	CDS	756		4.2.1.150	COG1024	Crotonyl-CoA hydratase
KGENGAEB_00198	CDS	579				hypothetical protein
KGENGAEB_00199	CDS	891	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
KGENGAEB_00200	CDS	387				hypothetical protein
KGENGAEB_00201	CDS	1629	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
KGENGAEB_00202	CDS	933	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
KGENGAEB_00203	CDS	357	ftsL		COG4839	Cell division protein FtsL
KGENGAEB_00204	CDS	2205	pbpB		COG0768	Penicillin-binding protein 2B
KGENGAEB_00205	CDS	1935	spoVD		COG0768	Stage V sporulation protein D
KGENGAEB_00206	CDS	105				hypothetical protein
KGENGAEB_00207	CDS	1470	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
KGENGAEB_00208	CDS	468				hypothetical protein
KGENGAEB_00209	CDS	975	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
KGENGAEB_00210	CDS	1356	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
KGENGAEB_00211	CDS	1101	ftsW_2	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
KGENGAEB_00212	CDS	864	divIB		COG1589	Cell division protein DivIB
KGENGAEB_00213	CDS	705				hypothetical protein
KGENGAEB_00214	CDS	720				hypothetical protein
KGENGAEB_00215	CDS	363				hypothetical protein
KGENGAEB_00216	CDS	1269	ftsA		COG0849	Cell division protein FtsA
KGENGAEB_00217	CDS	1134	ftsZ		COG0206	Cell division protein FtsZ
KGENGAEB_00218	CDS	159				hypothetical protein
KGENGAEB_00219	CDS	909	spoIIGA	3.4.23.-		Sporulation sigma-E factor-processing peptidase
KGENGAEB_00220	CDS	720	sigE_1			RNA polymerase sigma-35 factor
KGENGAEB_00221	CDS	780	sigG		COG1191	RNA polymerase sigma-G factor
KGENGAEB_00222	CDS	243	ylmC_1		COG1873	putative sporulation protein YlmC
KGENGAEB_00223	CDS	825	rl5	1.10.3.-		Polyphenol oxidase
KGENGAEB_00224	CDS	675			COG0325	Pyridoxal phosphate homeostasis protein
KGENGAEB_00225	CDS	432	sepF			Cell division protein SepF
KGENGAEB_00226	CDS	273				hypothetical protein
KGENGAEB_00227	CDS	774				hypothetical protein
KGENGAEB_00228	CDS	513	divIVA		COG3599	Septum site-determining protein DivIVA
KGENGAEB_00229	CDS	2775	ileS	6.1.1.5		Isoleucine--tRNA ligase
KGENGAEB_00230	CDS	483	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KGENGAEB_00231	CDS	915	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KGENGAEB_00232	CDS	540	pyrR			Bifunctional protein PyrR
KGENGAEB_00233	CDS	1302	pyrP			Uracil permease
KGENGAEB_00234	CDS	927	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
KGENGAEB_00235	CDS	1287	pyrC	3.5.2.3	COG0044	Dihydroorotase
KGENGAEB_00236	CDS	1095	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
KGENGAEB_00237	CDS	3198	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
KGENGAEB_00238	CDS	774	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
KGENGAEB_00239	CDS	942	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
KGENGAEB_00240	CDS	720	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
KGENGAEB_00241	CDS	624	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
KGENGAEB_00242	CDS	165				hypothetical protein
KGENGAEB_00243	CDS	312				hypothetical protein
KGENGAEB_00244	CDS	1740	rqcH			Rqc2 RqcH
KGENGAEB_00245	CDS	2673	yloB	7.2.2.10	COG0474	Calcium-transporting ATPase
KGENGAEB_00246	CDS	822				hypothetical protein
KGENGAEB_00247	CDS	264	remA		COG2052	Extracellular matrix regulatory protein A
KGENGAEB_00248	CDS	588	gmk	2.7.4.8		Guanylate kinase
KGENGAEB_00249	CDS	201	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
KGENGAEB_00250	CDS	1206	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
KGENGAEB_00251	CDS	2406	priA	3.6.4.-		primosomal protein N'
KGENGAEB_00252	CDS	474	def1	3.5.1.88	COG0242	Peptide deformylase 1
KGENGAEB_00253	CDS	966	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
KGENGAEB_00254	CDS	1335	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
KGENGAEB_00255	CDS	1101	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
KGENGAEB_00256	CDS	750	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
KGENGAEB_00257	CDS	1998	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
KGENGAEB_00258	CDS	882	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
KGENGAEB_00259	CDS	657	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
KGENGAEB_00260	CDS	648	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
KGENGAEB_00261	CDS	186	rpmB			50S ribosomal protein L28
KGENGAEB_00262	CDS	363				putative protein
KGENGAEB_00263	CDS	1671				putative protein
KGENGAEB_00264	CDS	663	sdhB	4.3.1.17		L-serine dehydratase, beta chain
KGENGAEB_00265	CDS	882	sdhA	4.3.1.17		L-serine dehydratase, alpha chain
KGENGAEB_00266	CDS	2049	recG	3.6.4.12		ATP-dependent DNA helicase RecG
KGENGAEB_00267	CDS	597	fapR		COG2050	Transcription factor FapR
KGENGAEB_00268	CDS	987	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
KGENGAEB_00269	CDS	945	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
KGENGAEB_00270	CDS	744	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KGENGAEB_00271	CDS	234	acpA		COG0236	Acyl carrier protein
KGENGAEB_00272	CDS	741	rnc	3.1.26.3	COG0571	Ribonuclease 3
KGENGAEB_00273	CDS	3564	smc_1		COG1196	Chromosome partition protein Smc
KGENGAEB_00274	CDS	990	ftsY		COG0552	Signal recognition particle receptor FtsY
KGENGAEB_00275	CDS	333				hypothetical protein
KGENGAEB_00276	CDS	1341	ffh		COG0541	Signal recognition particle protein
KGENGAEB_00277	CDS	273	rpsP			30S ribosomal protein S16
KGENGAEB_00278	CDS	237				hypothetical protein
KGENGAEB_00279	CDS	387				hypothetical protein
KGENGAEB_00280	CDS	522	rimM			Ribosome maturation factor RimM
KGENGAEB_00281	CDS	738	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
KGENGAEB_00282	CDS	351	rplS		COG0335	50S ribosomal protein L19
KGENGAEB_00283	CDS	552	sipS	3.4.21.89	COG0681	Signal peptidase I S
KGENGAEB_00284	CDS	867	rbgA		COG1161	Ribosome biogenesis GTPase A
KGENGAEB_00285	CDS	780	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KGENGAEB_00286	CDS	1554				hypothetical protein
KGENGAEB_00287	CDS	288				hypothetical protein
KGENGAEB_00288	CDS	1161	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
KGENGAEB_00289	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
KGENGAEB_00290	CDS	882				hypothetical protein
KGENGAEB_00291	CDS	2076	topA	5.6.2.1		DNA topoisomerase 1
KGENGAEB_00292	CDS	903	xerC_1		COG4974	Tyrosine recombinase XerC
KGENGAEB_00293	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
KGENGAEB_00294	CDS	1395	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
KGENGAEB_00295	CDS	780	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
KGENGAEB_00296	CDS	390	flgB		COG1815	Flagellar basal body rod protein FlgB
KGENGAEB_00297	CDS	453	flgC		COG1558	Flagellar basal-body rod protein FlgC
KGENGAEB_00298	CDS	297	fliE			Flagellar hook-basal body complex protein FliE
KGENGAEB_00299	CDS	1584				hypothetical protein
KGENGAEB_00300	CDS	1020	fliG		COG1536	Flagellar motor switch protein FliG
KGENGAEB_00301	CDS	780				hypothetical protein
KGENGAEB_00302	CDS	1272	yscN	7.1.2.2		putative ATP synthase YscN
KGENGAEB_00303	CDS	447	fliJ		COG2882	Flagellar FliJ protein
KGENGAEB_00304	CDS	612				hypothetical protein
KGENGAEB_00305	CDS	1383				hypothetical protein
KGENGAEB_00306	CDS	429				hypothetical protein
KGENGAEB_00307	CDS	795	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
KGENGAEB_00308	CDS	225	swrD		COG1582	Swarming motility protein SwrD
KGENGAEB_00309	CDS	429				hypothetical protein
KGENGAEB_00310	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
KGENGAEB_00311	CDS	1185				hypothetical protein
KGENGAEB_00312	CDS	360	cheY_1		COG0784	Chemotaxis protein CheY
KGENGAEB_00313	CDS	654				hypothetical protein
KGENGAEB_00314	CDS	669	fliP		COG1338	Flagellar biosynthetic protein FliP
KGENGAEB_00315	CDS	270				hypothetical protein
KGENGAEB_00316	CDS	774	fliR		COG1684	Flagellar biosynthetic protein FliR
KGENGAEB_00317	CDS	1083	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
KGENGAEB_00318	CDS	2043	flhA		COG1298	Flagellar biosynthesis protein FlhA
KGENGAEB_00319	CDS	1116	flhF		COG1419	Flagellar biosynthesis protein FlhF
KGENGAEB_00320	CDS	864	ylxH		COG0455	Flagellum site-determining protein YlxH
KGENGAEB_00321	CDS	1047	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
KGENGAEB_00322	CDS	2007	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
KGENGAEB_00323	CDS	438	cheW_1		COG0835	Chemotaxis protein CheW
KGENGAEB_00324	CDS	633	cheC	3.-.-.-	COG1776	CheY-P phosphatase CheC
KGENGAEB_00325	CDS	498	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
KGENGAEB_00326	CDS	762	sigD		COG1191	RNA polymerase sigma-D factor
KGENGAEB_00327	CDS	246				hypothetical protein
KGENGAEB_00328	CDS	582				hypothetical protein
KGENGAEB_00329	CDS	708	rpsB			30S ribosomal protein S2
KGENGAEB_00330	CDS	885	tsf		COG0264	Elongation factor Ts
KGENGAEB_00331	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
KGENGAEB_00332	CDS	558	frr		COG0233	Ribosome-recycling factor
KGENGAEB_00333	CDS	774	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
KGENGAEB_00334	CDS	795				hypothetical protein
KGENGAEB_00335	CDS	1149	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
KGENGAEB_00336	CDS	1254	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
KGENGAEB_00337	CDS	1704	proS	6.1.1.15	COG0442	Proline--tRNA ligase
KGENGAEB_00338	CDS	4305	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
KGENGAEB_00339	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
KGENGAEB_00340	CDS	1152	nusA		COG0195	Transcription termination/antitermination protein NusA
KGENGAEB_00341	CDS	291				hypothetical protein
KGENGAEB_00342	CDS	303	rplGA		COG1358	putative ribosomal protein YlxQ
KGENGAEB_00343	CDS	2208	infB			Translation initiation factor IF-2
KGENGAEB_00344	CDS	279				hypothetical protein
KGENGAEB_00345	CDS	387	rbfA			Ribosome-binding factor A
KGENGAEB_00346	CDS	909	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
KGENGAEB_00347	CDS	981	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
